Sentence,Label,prob_0,prob_1,Prediction
"exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce .",1,0.00080138445,0.9991986,1
"an enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to .",1,0.0006978512,0.99930215,1
"as a singular character study , it 's perfect .",1,0.0008494854,0.9991505,1
haneke challenges us to confront the reality of sexual aberration .,1,0.011100709,0.9888993,1
an experience so engrossing it is like being buried in a new environment .,1,0.0067067146,0.9932933,1
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",1,0.0028763413,0.99712366,1
a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history .,1,0.7055729,0.2944271,0
i do n't have an i am sam clue .,0,0.99805874,0.0019412495,0
"zhang yimou delivers warm , genuine characters who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .",1,0.00080388784,0.9991961,1
"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",1,0.00070500374,0.999295,1
the thrill is -lrb- long -rrb- gone .,0,0.99511695,0.004883037,0
much monkeyfun for all .,1,0.15576899,0.844231,1
"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,0.99863017,0.0013698171,0
"much of the way , though , this is a refreshingly novel ride .",1,0.00093740225,0.9990626,1
"for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie .",1,0.0014945269,0.9985055,1
one scarcely needs the subtitles to enjoy this colorful action farce .,1,0.004328847,0.99567115,1
"as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them .",0,0.99811107,0.0018889155,0
what might have been a predictably heartwarming tale is suffused with complexity .,1,0.0061931014,0.9938069,1
"with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 .",0,0.9922097,0.0077903355,0
this is simply the most fun you 'll ever have with a documentary !,1,0.000546515,0.9994535,1
"it represents better-than-average movie-making that does n't demand a dumb , distracted audience .",1,0.0015621781,0.9984378,1
... the sum of the parts equals largely a confused mediocrity .,0,0.99829966,0.001700329,0
"it may be an easy swipe to take , but this barbershop just does n't make the cut .",0,0.998955,0.0010450125,0
the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .,1,0.000616312,0.9993837,1
"how on earth , or anywhere else , did director ron underwood manage to blow $ 100 ### million on this ?",0,0.9939158,0.0060841767,0
"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",1,0.010500252,0.98949975,1
"as are its star , its attitude and its obliviousness .",0,0.052588582,0.9474114,1
"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle .",0,0.9828391,0.017160889,0
a dream cast of solid female talent who build a seamless ensemble .,1,0.00046789646,0.9995321,1
"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,0.95954955,0.040450472,0
"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre .",0,0.9922664,0.0077336025,0
"the movie is well shot and very tragic , and one to ponder after the credits roll .",1,0.003010273,0.9969897,1
"it is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness .",1,0.00077199936,0.999228,1
"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids .",1,0.0054451227,0.9945549,1
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",1,0.00079888105,0.9992011,1
"a turgid little history lesson , humourless and dull .",0,0.997714,0.002286035,0
the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters .,0,0.99906206,0.0009379355,0
"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",1,0.034412146,0.96558785,1
a harmless and mildly amusing family comedy .,1,0.000815928,0.9991841,1
"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad .",0,0.9948592,0.0051407665,0
"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek .",0,0.99378544,0.006214551,0
"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,0.0014683008,0.9985317,1
"-lrb- schweiger is -rrb- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",1,0.0023071766,0.9976928,1
a well acted and well intentioned snoozer .,0,0.0011129975,0.998887,1
"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 .",1,0.00069475174,0.99930525,1
"for all its alleged youthful fire , xxx is no less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero .",0,0.4381799,0.5618201,1
"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap .",1,0.7321174,0.26788262,0
now it 's just tired .,0,0.9986924,0.001307604,0
not so much a movie as a picture book for the big screen .,0,0.99533695,0.004663037,0
it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .,0,0.9971541,0.002845862,0
about as satisfying and predictable as the fare at your local drive through .,0,0.8326087,0.1673913,0
the movie succumbs to being nothing more than a formulaic chase in the dark .,0,0.99716276,0.0028372353,0
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,0.06493515,0.93506485,1
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,0.0022642612,0.99773574,1
"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",0,0.72336555,0.27663445,0
"george , hire a real director and good writers for the next installment , please .",0,0.17330796,0.82669204,1
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,0,0.99883187,0.0011681385,0
it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time .,0,0.99859744,0.0014025337,0
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,1,0.003327608,0.9966724,1
"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast .",1,0.000672102,0.9993279,1
"reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes .",1,0.0025100708,0.9974899,1
abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .,0,0.7868953,0.21310474,0
"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right .",1,0.0039182305,0.99608177,1
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,0.0026820302,0.99731797,1
director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,0.07314527,0.9268547,1
"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos .",0,0.99263173,0.0073682386,0
"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",0,0.9989142,0.0010858244,0
de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .,0,0.018574595,0.9814254,1
an intelligent fiction about learning through cultural clash .,1,0.0006443858,0.9993556,1
"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill",1,0.00061130524,0.9993887,1
there 's something fundamental missing from this story : something or someone to care about .,0,0.9904932,0.009506812,0
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,0.0012046099,0.9987954,1
"sometimes , nothing satisfies like old-fashioned swashbuckling .",1,0.9748704,0.025129639,0
enough similarities to gymkata and howie long 's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs .,0,0.35624284,0.64375716,1
"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",1,0.0007981658,0.99920183,1
"here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",1,0.0010659099,0.9989341,1
a well-made and often lovely depiction of the mysteries of friendship .,1,0.00064617395,0.9993538,1
if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .,0,0.9804321,0.019567896,0
"a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending .",0,0.9977355,0.002264501,0
demands too much of most viewers .,0,0.9966739,0.003326115,0
rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .,1,0.1907726,0.8092274,1
"its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer .",0,0.43730056,0.56269944,1
a deviant topical comedy which is funny from start to finish .,1,0.0013324022,0.9986676,1
arguably the year 's silliest and most incoherent movie .,0,0.95105976,0.04894022,0
the movie quickly drags on becoming boring and predictable .,0,0.998863,0.0011370342,0
"while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations",1,0.012576938,0.98742306,1
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,0.517979,0.482021,0
a refreshingly authentic coming-of-age tale .,1,0.0007698536,0.99923015,1
the smartest bonehead comedy of the summer .,1,0.00456661,0.9954334,1
u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .,1,0.008403957,0.99159604,1
escapism in its purest form .,1,0.0009753704,0.9990246,1
the cast is uniformly excellent and relaxed .,1,0.000613451,0.99938655,1
"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren .",1,0.001511097,0.9984889,1
sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ...,0,0.18055207,0.81944793,1
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,0.99467933,0.005320662,0
despite some gulps the film is a fuzzy huggy .,1,0.056964934,0.94303507,1
"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .",0,0.9818909,0.018109113,0
"it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal .",1,0.0011045933,0.9988954,1
"even if britney spears is really cute , her movie is really bad .",0,0.9988166,0.0011834049,0
the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .,0,0.34086055,0.65913945,1
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .,0,0.9971533,0.002846701,0
"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of .",0,0.99633515,0.0036648507,0
it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,1,0.031800747,0.96819925,1
"it 's all pretty cynical and condescending , too .",0,0.9944503,0.005549701,0
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1,0.0021814108,0.9978186,1
barely goes beyond comic book status .,0,0.9907327,0.009267251,0
"even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of vardalos ' humor , which transcends ethnic boundaries .",1,0.0006184578,0.99938154,1
borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .,0,0.006265104,0.9937349,1
"once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale .",1,0.00080913305,0.99919087,1
"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,0.0035306215,0.9964694,1
"not everything works , but the average is higher than in mary and most other recent comedies .",1,0.4277836,0.5722164,1
"it smacks of purely commercial motivation , with no great love for the original .",0,0.97324264,0.026757384,0
a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy .,1,0.0049758554,0.99502414,1
a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans .,0,0.9954339,0.004566063,0
sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family .,1,0.0018582344,0.99814177,1
"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel .",0,0.997075,0.002924987,0
"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .",1,0.0008944869,0.9991055,1
"it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed .",0,0.11350161,0.8864984,1
the story and characters are nowhere near gripping enough .,0,0.9983039,0.0016960907,0
ridiculous .,0,0.99805355,0.0019464727,0
no. .,0,0.9714732,0.028526768,0
"if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions .",1,0.0022035837,0.9977964,1
a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .,0,0.99856526,0.0014347284,0
a film so tedious that it is impossible to care whether that boast is true or not .,0,0.9970817,0.002918303,0
"and in this regard , on guard delivers .",1,0.0007765293,0.9992235,1
something the true film buff will enjoy .,1,0.0011942387,0.99880576,1
"the result is solemn and horrifying , yet strangely detached .",0,0.28161693,0.7183831,1
"a gentle , compassionate drama about grief and healing .",1,0.0008634925,0.9991365,1
"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed .",0,0.9969292,0.003070743,0
"it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep .",1,0.0014787316,0.99852127,1
the result is something quite fresh and delightful .,1,0.002338171,0.9976618,1
"if you love motown music , you 'll love this documentary .",1,0.0015397072,0.9984603,1
it 's solid and affecting and exactly as thought-provoking as it should be .,1,0.00081306696,0.99918693,1
"you have to pay attention to follow all the stories , but they 're each interesting .",1,0.0023296475,0.99767035,1
"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,0.010813177,0.9891868,1
"lovingly choreographed bloodshed taking place in a pristine movie neverland , basically .",1,0.0045975447,0.99540246,1
"a thoughtful , moving piece that faces difficult issues with honesty and beauty .",1,0.0006327033,0.9993673,1
"for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry .",0,0.9967673,0.0032326947,0
"spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .",0,0.97679883,0.023201192,0
frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen .,1,0.0004454255,0.9995546,1
i hate this movie,0,0.99845845,0.0015415562,0
"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",0,0.80329627,0.19670372,0
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,1,0.0006068945,0.9993931,1
"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",1,0.0006560683,0.99934393,1
"city by the sea is the cinematic equivalent of defensive driving : it 's careful , conscientious and makes no major mistakes .",1,0.0016498566,0.99835014,1
it 's both a necessary political work and a fascinating documentary ...,1,0.00086945295,0.99913055,1
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",1,0.00065499544,0.999345,1
"this film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .",0,0.9972651,0.0027348758,0
"too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes .",0,0.99794066,0.0020593335,0
"so young , so smart , such talent , such a wise \*\*\* .",1,0.0014709234,0.9985291,1
resourceful and ingenious entertainment .,1,0.00074857473,0.9992514,1
` enigma ' is a good name for a movie this delibrately obtuse and unapproachable .,0,0.87547135,0.12452866,0
"rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic .",1,0.002106011,0.997894,1
"this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s .",1,0.0008277893,0.9991722,1
"reggio falls victim to relying on the very digital technology that he fervently scorns , creating a meandering , inarticulate and ultimately disappointing film .",0,0.99880165,0.0011983623,0
a masterpiece four years in the making .,1,0.0020462275,0.9979538,1
`` an entire film about researchers quietly reading dusty old letters . '',0,0.7599844,0.24001564,0
"in adobo , ethnicity is not just the spice , but at the heart of more universal concerns .",1,0.01273489,0.9872651,1
do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,0,0.99632776,0.0036722287,0
"this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he 's the most obvious one .",0,0.1690169,0.8309831,1
the film often achieves a mesmerizing poetry .,1,0.0029969811,0.997003,1
"a triumph , relentless and beautiful in its downbeat darkness .",1,0.001003325,0.9989967,1
the movie 's biggest offense is its complete and utter lack of tension .,0,0.9949757,0.0050242906,0
digital-video documentary about stand-up comedians is a great glimpse into a very different world .,1,0.0035563111,0.9964437,1
impresses you with its open-endedness and surprises .,1,0.00061929226,0.9993807,1
"the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive .",0,0.999091,0.00090896676,0
her delivery and timing are flawless .,1,0.00047934055,0.99952066,1
if high crimes were any more generic it would have a universal product code instead of a title .,0,0.9953995,0.0046005077,0
"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent .",1,0.0011940002,0.998806,1
"when it 's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",0,0.998212,0.0017879996,0
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,0.9983707,0.001629301,0
boring we did n't .,0,0.9940278,0.005972214,0
"a spunky , original take on a theme that will resonate with singles of many ages .",1,0.0006220341,0.99937797,1
undercover brother does n't go far enough .,0,0.9947031,0.005296873,0
moot point .,0,0.96187615,0.038123872,0
let 's cut to the consumer-advice bottom line : stay home .,0,0.9781146,0.021885412,0
"as green-guts monster movies go , it 's a beaut .",1,0.019877493,0.9801225,1
"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",1,0.0009458661,0.99905413,1
"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",1,0.00078880787,0.9992112,1
münch 's genuine insight makes the film 's occasional overindulgence forgivable .,1,0.00063079596,0.9993692,1
the sum of all fears is almost impossible to follow -- and there 's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .,0,0.9966375,0.0033624917,0
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,1,0.0008186698,0.99918133,1
"the problem , it is with most of these things , is the script .",0,0.9887601,0.011239865,0
beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,0.99815404,0.0018459597,0
"this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through .",0,0.9983806,0.0016193998,0
"for the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride .",1,0.001452148,0.99854785,1
neither funny nor suspenseful nor particularly well-drawn .,0,0.9854754,0.0145246,0
a compendium of solondz 's own worst instincts in under 90 ### minutes .,0,0.75794166,0.24205832,0
all i can say is fuhgeddaboutit .,0,0.9767162,0.023283789,0
"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame .",1,0.0018630028,0.998137,1
anyone who can count to five -lrb- the film 's target market ? -rrb-,0,0.9025906,0.097409405,0
warmed-over tarantino by way of wannabe elmore leonard .,0,0.001098156,0.99890184,1
an endearingly offbeat romantic comedy with a great meet-cute gimmick .,1,0.0006405711,0.9993594,1
"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,0.0014826655,0.99851733,1
"sharp , lively , funny and ultimately sobering film .",1,0.0008662343,0.99913377,1
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,0.0010134578,0.99898654,1
"thirty years ago , it would have been groundbreaking .",0,0.114198744,0.88580126,1
"it is a comedy that 's not very funny and an action movie that is not very thrilling -lrb- and an uneasy alliance , at that -rrb- .",0,0.9981313,0.0018687466,0
"unfortunately , as a writer , mr. montias is n't nearly as good to his crew as he is as a director or actor .",0,0.99883854,0.0011614359,0
"a long-winded , predictable scenario .",0,0.9947083,0.005291705,0
invincible is a wonderful movie .,1,0.0007582903,0.9992417,1
"earns its laughs from stock redneck ` types ' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing .",1,0.0011909008,0.9988091,1
"a smart , sweet and playful romantic comedy .",1,0.000752151,0.99924785,1
a moody horror\/thriller elevated by deft staging and the director 's well-known narrative gamesmanship .,1,0.0005942583,0.99940574,1
a dreadful live-action movie .,0,0.9990311,0.0009688926,0
"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",1,0.0006195307,0.99938047,1
"for the most part , i spy was an amusing lark that will probably rank as one of murphy 's better performances in one of his lesser-praised movies .",1,0.0012771487,0.99872285,1
"though the controversial korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .",1,0.00067818165,0.9993218,1
well worth the time .,1,0.0010927916,0.9989072,1
they felt like the same movie to me .,0,0.98421067,0.015789334,0
"witty , touching and well paced .",1,0.00066024065,0.99933976,1
"i would have preferred a transfer down the hall to mr. holland 's class for the music , or to robin williams 's lecture so i could listen to a teacher with humor , passion , and verve .",0,0.5146377,0.48536226,0
this is the best american movie about troubled teens since 1998 's whatever .,1,0.0007343888,0.9992656,1
absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,0,0.12434733,0.8756527,1
good movie .,1,0.00064593554,0.99935406,1
i whole-heartedly recommend that everyone see this movie -- for its historical significance alone .,1,0.0034380555,0.99656194,1
"it 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school .",0,0.99843276,0.0015672708,0
but what spectacular sizzle it is !,1,0.0061006546,0.99389935,1
stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .,1,0.022084534,0.97791547,1
"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,0.04349196,0.95650804,1
a cop story that understands the medium amazingly well .,1,0.0005683303,0.99943167,1
"taken individually or collectively , the stories never add up to as much as they promise .",0,0.99342936,0.006570614,0
"when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music .",0,0.99605453,0.00394547,0
one of the greatest romantic comedies of the past decade .,1,0.0008562803,0.9991437,1
the plot grinds on with yawn-provoking dullness .,0,0.999086,0.000914003,0
"an amusing , breezily apolitical documentary about life on the campaign trail .",1,0.0007827282,0.9992173,1
time changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets,1,0.57947814,0.42052186,0
"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,0.00072163343,0.99927837,1
... the last time i saw a theater full of people constantly checking their watches was during my sats .,0,0.98268545,0.01731458,0
"these are lives worth watching , paths worth following .",1,0.00064247847,0.9993575,1
"static , repetitive , muddy and blurry , hey arnold !",0,0.9961405,0.0038595335,0
"this is a throwaway , junk-food movie whose rap soundtrack was better tended to than the film itself .",0,0.99899954,0.0010004377,0
"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .",1,0.0006226897,0.9993773,1
a film that is a portrait of grace in an imperfect world .,1,0.0017072558,0.99829274,1
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '",0,0.9965772,0.0034227818,0
the best movie of its kind since ` brazil . ',1,0.00064498186,0.999355,1
davis has filled out his cast with appealing fresh faces .,1,0.0008493662,0.99915063,1
"it might be tempting to regard mr. andrew and his collaborators as oddballs , but mr. earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",1,0.0007223487,0.99927765,1
